A	0	5
A	1	7
A	2	7
A	3	9
A	4	7
A	5	10
A	6	3
A	7	7
A	8	4
A	9	4
A	10	8
A	11	8
A	12	8
A	13	10
A	14	8
A	15	6
A	16	7
A	17	9
A	18	5
X	4	2
X	18	4
X	5	8
X	17	0
X	2	1
X	11	3
X	0	0
X	7	3
X	13	8
X	14	3
X	17	7
X	1	1
X	2	4
X	13	8
X	1	5
X	16	4
X	18	1
X	16	6
X	15	3
X	18	3
X	7	0
X	7	5
X	15	1
X	17	1
X	13	9
X	6	2
X	5	8
X	6	2
X	5	2
X	13	3
X	3	5
X	12	4
X	8	3
X	11	5
X	15	2
X	12	7
X	1	4
X	9	1
X	11	2
X	2	5
X	15	2
X	3	8
X	3	7
X	15	4
X	2	5
X	5	5
X	5	4
X	1	5
X	6	2
X	8	2
X	5	6
X	0	2
X	11	4
X	12	1
X	12	6
X	3	4
X	8	0
X	6	1
X	15	5
X	7	2
X	6	0
X	17	1
X	10	1
X	2	5
X	5	6
X	15	0
X	2	1
X	17	7
X	11	4
X	11	3
X	5	7
X	8	0
X	12	3
X	18	2
X	17	2
X	8	1
X	17	6
X	9	0
X	8	1
X	4	1
X	6	2
X	12	2
X	3	2
X	18	2
X	10	7
X	15	1
X	14	2
X	13	2
X	7	3
X	5	7
X	17	6
X	16	3
X	16	1
X	17	5
X	17	4
X	6	1
X	3	4
X	3	1
X	10	7
X	7	0
X	14	1
X	6	2
X	11	3
X	16	0
X	17	8
X	14	5
X	13	1
X	11	7
X	6	0
X	11	5
X	16	4
X	3	8
X	10	0
X	1	0
X	3	2
X	14	1
X	5	9
X	11	0
X	9	1
X	6	0
X	1	3
X	14	4
X	5	2
X	16	2
X	1	6
X	15	5
X	7	3
X	11	3
X	5	8
X	12	1
X	7	6
X	5	7
X	7	2
X	1	3
X	0	0
X	11	4
X	11	5
X	11	6
X	13	2
X	7	4
X	16	4
X	2	4
X	18	0
X	13	7
X	9	2
X	16	5
X	1	4
X	1	6
X	5	7
X	4	5
X	7	5
X	13	6
X	4	0
X	11	7
X	14	4
X	14	0
X	13	5
X	11	3
X	14	3
X	9	0
X	12	7
F	5	4
F	11	2
F	8	3
F	2	2
F	6	2
F	9	2
F	2	3
F	10	4
F	3	4
F	15	3
F	15	1
F	13	1
F	2	0
F	7	1
F	8	1
F	17	0
F	6	1
F	3	2
X	10	3
X	0	4
X	5	8
X	14	0
X	3	5
X	15	4
X	12	4
X	0	0
X	14	4
X	10	6
X	13	8
X	15	4
X	0	4
X	3	7
X	2	4
X	17	8
X	5	0
X	12	3
X	7	4
X	8	0
X	10	2
X	14	3
X	18	2
X	17	6
X	18	3
X	13	5
A	19	2
A	20	10
A	21	6
A	22	7
A	23	5
A	24	6
A	25	8
A	26	10
A	27	7
A	28	10
A	29	7
A	30	6
A	31	8
A	32	10
A	33	3
A	34	8
A	35	4
A	36	4
A	37	5
A	38	5
A	39	1
A	40	6
A	41	3
A	42	5
A	43	4
A	44	7
A	45	9
A	46	7
A	47	2
A	48	6
A	49	10
A	50	2
A	51	9
A	52	8
A	53	3
A	54	4
A	55	9
A	56	3
A	57	4
A	58	5
A	59	7
A	60	10
A	61	8
A	62	8
A	63	6
A	64	8
A	65	9
A	66	6
A	67	3
A	68	9
A	69	10
A	70	7
A	71	3
A	72	2
A	73	1
A	74	10
A	75	2
A	76	1
A	77	2
A	78	3
A	79	6
A	80	5
A	81	9
A	82	1
A	83	2
A	84	5
A	85	1
A	86	6
A	87	3
A	88	10
A	89	5
A	90	5
A	91	8
A	92	1
A	93	6
A	94	3
A	95	9
A	96	8
A	97	1
A	98	3
A	99	9
A	100	2
A	101	8
A	102	10
A	103	7
A	104	1
A	105	6
A	106	5
A	107	6
A	108	6
A	109	5
A	110	2
A	111	3
A	112	1
A	113	6
A	114	2
A	115	3
A	116	3
A	117	2
A	118	2
A	119	2
A	120	8
A	121	8
A	122	6
A	123	9
A	124	6
A	125	1
A	126	9
A	127	5
A	128	4
A	129	8
A	130	5
A	131	10
A	132	7
A	133	1
A	134	3
A	135	7
A	136	9
A	137	10
X	108	2
X	51	1
X	19	1
X	95	7
X	109	4
X	6	0
X	127	4
X	4	0
X	124	1
X	82	0
X	92	0
X	127	2
X	98	1
X	45	0
X	46	0
X	116	0
X	78	1
X	92	0
X	107	5
X	27	0
X	120	7
X	52	3
X	87	1
X	125	0
X	3	5
X	31	5
X	67	0
X	47	0
X	77	0
X	1	2
X	67	0
X	116	2
X	58	4
X	41	1
X	43	0
X	10	7
X	76	0
X	23	4
X	30	1
X	130	2
X	38	3
X	2	5
X	113	3
X	24	2
X	47	0
X	35	0
X	25	1
X	18	4
X	15	0
X	29	0
X	37	3
X	105	2
X	116	2
X	134	1
X	24	3
X	75	0
X	21	4
X	12	6
X	18	0
X	99	4
X	19	0
X	64	3
X	21	2
X	83	0
X	120	0
X	121	5
X	1	4
X	89	4
X	50	1
X	2	6
X	11	6
X	61	6
X	69	6
X	39	0
X	88	8
X	30	3
X	53	2
X	35	0
X	53	0
X	122	3
X	23	3
X	112	0
X	127	1
X	126	3
X	51	5
X	78	1
X	91	6
X	123	2
X	102	2
X	19	1
X	66	1
X	21	1
X	40	2
X	105	2
X	114	1
X	62	0
X	55	4
X	120	1
X	90	4
X	72	0
X	73	0
X	77	0
X	46	5
X	58	1
X	51	2
X	136	8
X	92	0
X	64	7
X	34	6
X	93	4
X	46	6
X	45	6
X	0	1
X	119	0
X	87	1
X	27	1
X	48	1
X	73	0
X	22	1
X	95	5
X	114	1
X	106	1
X	75	1
X	114	0
X	45	4
X	44	3
X	13	6
X	99	2
X	33	0
X	56	2
X	67	1
X	5	8
X	2	5
X	95	0
X	44	5
X	136	3
X	42	4
X	0	2
X	79	2
X	99	7
X	134	2
X	31	2
X	105	1
X	6	0
F	60	0
F	76	0
F	44	5
F	9	3
F	52	4
F	6	0
F	45	8
F	124	2
F	133	0
F	103	1
F	0	3
F	44	3
F	7	4
F	84	2
F	136	6
F	46	4
F	83	1
